store_id,chain,address,city,state,zip,full_address,tape_cases
SHM07Y-0004,Sherms Market,2553 NW Stewart Parkway,Roseburg,OR,97471,"2553 NW Stewart Parkway, Roseburg, OR 97471",18
FME07Y-0030,Fred Meyer,325 5th St,Brookings,OR,97415,"325 5th St, Brookings, OR 97415",30
FME07Y-0035,Fred Meyer,11425 SW Beaverton Hillsdale Hwy,Beaverton,OR,97005-3050,"11425 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005-3050",38
FME07Y-0040,Fred Meyer,7555 SW Barbur Blvd,Portland,OR,97219-2836,"7555 SW Barbur Blvd, Portland, OR 97219-2836",33
FME07Y-0050,Fred Meyer,1020 S 1st St,Coos Bay,OR,97420-1403,"1020 S 1st St, Coos Bay, OR 97420-1403",16
FME07Y-0060,Fred Meyer,2200 Baseline St,Cornelius,OR,97113-8621,"2200 Baseline St, Cornelius, OR 97113-8621",18
FME07Y-0063,Fred Meyer,16301 SE 82nd Dr,Clackamas,OR,97015-9521,"16301 SE 82nd Dr, Clackamas, OR 97015-9521",27
FME07Y-0070,Fred Meyer,777 Kings Boulevard,Corvallis,OR,97330-5620,"777 Kings Boulevard, Corvallis, OR 97330-5620",21
FME07Y-0090,Fred Meyer,3740 Market St NE,Salem,OR,97301-1826,"3740 Market St NE, Salem, OR 97301-1826",32
FME07Y-0126,Fred Meyer,1101 Grants Pass Parkway,Grants Pass,OR,97526-2359,"1101 Grants Pass Parkway, Grants Pass, OR 97526-2359",22
FME07Y-0143,Fred Meyer,6495 SE Tualatin Valley Hwy,Hillsboro,OR,97123,"6495 SE Tualatin Valley Hwy, Hillsboro, OR 97123",39
FME07Y-0165,Fred Meyer,2655 Shasta Way,Klamath Falls,OR,97603-4400,"2655 Shasta Way, Klamath Falls, OR 97603-4400",26
FME07Y-0195,Fred Meyer,2424 Crater Lake Hwy,Medford,OR,97504,"2424 Crater Lake Hwy, Medford, OR 97504",28
FME07Y-0196,Fred Meyer,1301 Center Drive,Medford,OR,97501,"1301 Center Drive, Medford, OR 97501",27
FME07Y-0220,Fred Meyer,3300 PORTLAND RD,Newberg,OR,97132-5412,"3300 PORTLAND RD, Newberg, OR 97132-5412",27
FME07Y-0225,Fred Meyer,2855 Broadway St NE,Salem,OR,97303-6502,"2855 Broadway St NE, Salem, OR 97303-6502",25
FME07Y-0227,Fred Meyer,150 Northeast 20Th Street,Newport,OR,97365-1898,"150 Northeast 20Th Street, Newport, OR 97365-1898",25
FME07Y-0240,Fred Meyer,14700 SE Mcloughlin Blvd,Milwaukie,OR,97267-1417,"14700 SE Mcloughlin Blvd, Milwaukie, OR 97267-1417",29
FME07Y-0242,Fred Meyer,1839 Molalla Avenue,Oregon City,OR,97045-4011,"1839 Molalla Avenue, Oregon City, OR 97045-4011",40
FME07Y-0281,Fred Meyer,929 NW Garden Valley Blvd,Roseburg,OR,97471-1900,"929 NW Garden Valley Blvd, Roseburg, OR 97471-1900",24
FME07Y-0285,Fred Meyer,7700 SW Beaverton Hillsdale Hwy,Portland,OR,97225-2101,"7700 SW Beaverton Hillsdale Hwy, Portland, OR 97225-2101",36
FME07Y-0325,Fred Meyer,60 Division Ave,Eugene,OR,97404-5127,"60 Division Ave, Eugene, OR 97404-5127",35
FME07Y-0328,Fred Meyer,650 Q Street,Springfield,OR,97477-2325,"650 Q Street, Springfield, OR 97477-2325",19
FME07Y-0355,Fred Meyer,3450 Commercial St SE,Salem,OR,97302-4682,"3450 Commercial St SE, Salem, OR 97302-4682",27
FME07Y-0360,Fred Meyer,100 Northwest 20Th Place,Portland,OR,97209-1099,"100 Northwest 20Th Place, Portland, OR 97209-1099",28
FME07Y-0375,Fred Meyer,11565 SW Pacific Hwy,Tigard,OR,97223,"11565 SW Pacific Hwy, Tigard, OR 97223",34
FME07Y-0377,Fred Meyer,2500 North Main Street,Tillamook,OR,97141,"2500 North Main Street, Tillamook, OR 97141",22
FME07Y-0393,Fred Meyer,19200 SW Martinazzi AVE,Tualatin,OR,97062-6357,"19200 SW Martinazzi AVE, Tualatin, OR 97062-6357",36
FME07Y-0417,Fred Meyer,3333 W 11th Ave,Eugene,OR,97402-3053,"3333 W 11th Ave, Eugene, OR 97402-3053",25
FME07Y-0464,Fred Meyer,4701 Highway 101,Florence,OR,97439,"4701 Highway 101, Florence, OR 97439",23
FME07Y-0482,Fred Meyer,15995 Southwest Walker Road,Beaverton,OR,97006-4944,"15995 Southwest Walker Road, Beaverton, OR 97006-4944",30
FME07Y-0651,Fred Meyer,1401 Southeast First,Canby,OR,97013,"1401 Southeast First, Canby, OR 97013",22
FME07Y-0661,Fred Meyer,22075 Northwest Imbrie Drive,Hillsboro,OR,97124,"22075 Northwest Imbrie Drive, Hillsboro, OR 97124",27
QFC07Y-0201,Quality Food Center,4756 Northwest Bethany Boulevard,Portland,OR,97229,"4756 Northwest Bethany Boulevard, Portland, OR 97229",13
