StoreName,GroceryChain,Cycle,ZoneName,Address,City,State,Country,PostalCode,Case Count,SingleAd,DoubleAd
SAF07X-1546,Safeway,C,07X,221 W Heron St,Aberdeen,WA,US,98520,34,5400.00,7560.00
STB05X-0176,Stater Bros.,C,05X,14168 US Hwy 395,Adelanto,CA,US,92301,20,4050.00,5670.00
SAF07Y-1659,Safeway,C,07Y,1990 14th Ave SE,Albany,OR,US,97322,20,4050.00,5670.00
FME07Y-0005,Fred Meyer,C,07Y,2500 Santiam Highway Southeast,Albany,OR,US,97322,31,5175.00,7245.00
SAF07Y-1889,Safeway,A,07Y,20535 SW TV Highway,Aloha,OR,US,97006,9,2550.00,3570.00
SAF07Y-3557,Safeway,B,07Y,6055 SW 185th Ave,Aloha,OR,US,97078,11,2850.00,3990.00
STB05X-0053,Stater Bros.,B,05X,8770 Baseline Rd,Alta Loma,CA,US,91701,13,3150.00,4410.00
SAF07X-0593,Safeway,C,07X,911 11Th Street,Anacortes,WA,US,98221,26,4700.00,6580.00
FFL05X-0782,Food 4 Less,B,05X,20801 Bear Valley Road,Apple Valley,CA,US,92308,9,2550.00,3570.00
ALB05X-6513,Albertsons,B,05X,20261 Hwy 18,Apple Valley,CA,US,92307,12,3000.00,4200.00
STB05X-0110,Stater Bros.,B,05X,21602 Bear Valley Rd,Apple Valley,CA,US,92308,16,3550.00,4970.00
STB05X-0178,Stater Bros.,B,05X,12253 Apple Valley Rd,Apple Valley,CA,US,92308,16,3550.00,4970.00
SAF07X-1522,Safeway,A,07X,20500 Olympic Place,Arlington,WA,US,98223,16,3550.00,4970.00
SAF07X-0534,Safeway,C,07X,3532 172Nd Street Ne,Arlington,WA,US,98223,18,3800.00,5320.00
SAF07Y-3212,Safeway,C,07Y,585 Siskiyou Blvd,Ashland,OR,US,97520,15,3425.00,4795.00
ALB07Y-0573,Albertsons,C,07Y,2301 Ashland St,Ashland,OR,US,97520,16,3550.00,4970.00
SAF07Z-2627,Safeway,A,07Z,3250 Leif Erikson Dr,Astoria,OR,US,97103,9,2550.00,3570.00
SAR07X-0622,Saars,B,07X,1702 Auburn Way N,Auburn,WA,US,98002,5,2400.00,2400.00
HAG07X-3438,Haggen,C,07X,1406 Lake Tapps Pkwy E,Auburn,WA,US,98092,16,3550.00,4970.00
